Men in Black|7.3
Toy Story 2|7.9
Unstoppable|6.8
Rush Hour 2|6.6
What Lies Beneath|6.6
Cloudy with a Chance of Meatballs|7.0
Ice Age: Dawn of the Dinosaurs|7.0
The Secret Life of Walter Mitty|7.3
Charlie's Angels|5.5
The Departed|8.5
Mulan|7.5
Tropic Thunder|7.0
The Girl with the Dragon Tattoo|7.8
Die Hard with a Vengeance|7.6
Sherlock Holmes|7.6
Ben-Hur|6.1
Atlantis: The Lost Empire|6.8
Alvin and the Chipmunks: The Road Chip|5.0
Valkyrie|7.1
You Don't Mess with the Zohan|5.5
Pixels|5.6
A.I. Artificial Intelligence|7.1
The Haunted Mansion|4.9
Contact|7.4
Hollow Man|5.7
The Interpreter|6.4
Percy Jackson: Sea of Monsters|5.9
Lara Croft Tomb Raider: The Cradle of Life|5.5
Now You See Me 2|6.9
The Saint|6.2
Spy Game|7.0
Mission to Mars|5.6
Rio|7.0
Bicentennial Man|6.8
Volcano|5.4
The Devil's Own|6.1
K-19: The Widowmaker|6.7
Fantastic Four|4.3
Conan the Barbarian|6.9
Cinderella Man|8.0
The Nutcracker in 3D|4.4
Seabiscuit|7.3
Twister|6.3
The Fast and the Furious|6.7
Cast Away|7.7
Happy Feet|6.5
The Bourne Supremacy|7.8
Air Force One|6.4
Ocean's Eleven|7.8
The Three Musketeers|5.8
Hotel Transylvania|7.1
Enchanted|7.1
Hannibal|8.6
Safe House|6.8
102 Dalmatians|4.8
Tower Heist|6.2
The Holiday|6.9
Enemy of the State|7.3
It's Complicated|6.6
Ocean's Thirteen|6.9
Open Season|6.2
Divergent|6.7
Enemy at the Gates|7.6
The Rundown|6.7
Last Action Hero|6.2
Memoirs of a Geisha|7.3
The Fast and the Furious: Tokyo Drift|6.0
Arthur Christmas|7.1
Meet Joe Black|7.1
Collateral Damage|5.5
All That Jazz|7.8
Mirror Mirror|5.6
Scott Pilgrim vs. the World|7.5
The Core|5.4
Nutty Professor II: The Klumps|4.3
Scooby-Doo|4.9
Dredd|7.1
Click|6.4
Creepshow|6.9
Cats & Dogs: The Revenge of Kitty Galore|4.3
Jumper|6.1
Hellboy II: The Golden Army|7.0
Zodiac|7.7
The 6th Day|5.9
Bruce Almighty|6.7
The Expendables|6.5
Mission: Impossible|7.1
The Hunger Games|7.3
The Hangover Part II|6.5
Batman Returns|7.0
Over the Hedge|6.8
Lilo & Stitch|7.2
Charlotte's Web|6.4
Deep Impact|6.1
RED 2|6.7
The Longest Yard|6.4
Alvin and the Chipmunks: Chipwrecked|4.4
Grown Ups 2|5.4
Get Smart|6.5
Something's Gotta Give|6.7
Shutter Island|8.1
Four Christmases|5.6
Robots|6.3
Face/Off|7.3
Bedtime Stories|6.1
Road to Perdition|7.7
Just Go with It|6.4
Daredevil|8.8
Con Air|6.8
Eagle Eye|6.6
Cold Mountain|7.2
The Book of Eli|6.9
Flubber|5.2
The Haunting|4.9
Space Jam|6.3
The Pink Panther|5.6
The Day the Earth Stood Still|5.5
Conspiracy Theory|6.7
Fury|7.6
Six Days Seven Nights|5.7
Yogi Bear|4.6
Spirit: Stallion of the Cimarron|7.0
Zookeeper|5.2
Lost in Space|5.1
The Manchurian Candidate|6.6
Déjà Vu|7.0
Hotel Transylvania 2|6.7
Bewitched|7.6
Fantasia 2000|7.3
The Time Machine|5.9
Mighty Joe Young|5.6
Swordfish|6.5
The Legend of Zorro|5.9
What Dreams May Come|7.0
Little Nicky|5.3
The Brothers Grimm|5.9
Mars Attacks!|6.3
Evolution|6.4
The Edge|6.9
Surrogates|6.3
Thirteen Days|7.3
Daylight|5.8
Walking with Dinosaurs 3D|5.2
Battlefield Earth|2.4
Looney Tunes: Back in Action|5.7
Nine|5.8
Timeline|5.6
The Postman|6.0
Babe: Pig in the City|5.8
The Last Witch Hunter|6.0
Red Planet|5.7
Arthur and the Invisibles|6.0
Oceans|7.8
A Sound of Thunder|4.2
Pompeii|5.6
Top Cat Begins|4.4
A Beautiful Mind|8.2
The Lion King|8.5
Journey 2: The Mysterious Island|5.8
Cloudy with a Chance of Meatballs 2|6.5
Red Dragon|7.2
Hidalgo|6.7
Jack and Jill|3.4
2 Fast 2 Furious|5.9
The Little Prince|7.8
The Invasion|5.9
The Adventures of Rocky & Bullwinkle|4.1
The Secret Life of Pets|6.8
The League of Extraordinary Gentlemen|5.8
Despicable Me 2|7.5
Independence Day|6.9
The Lost World: Jurassic Park|6.5
Madagascar|6.9
Children of Men|7.9
X-Men|7.4
Wanted|6.7
The Rock|7.4
Ice Age: The Meltdown|6.9
50 First Dates|6.8
Hairspray|6.7
Exorcist: The Beginning|5.1
Inspector Gadget|4.1
Now You See Me|7.3
Grown Ups|6.0
The Terminal|7.3
Constantine|7.5
Hotel for Dogs|5.4
Vertical Limit|5.9
Charlie Wilson's War|7.1
Shark Tale|6.0
Dreamgirls|6.5
Life|8.3
Be Cool|5.7
Munich|7.6
Tears of the Sun|6.6
Killers|5.4
The Man from U.N.C.L.E.|7.3
Spanglish|6.5
Monster House|6.6
Bandits|6.6
First Knight|5.9
Anna and the King|6.7
Immortals|6.1
Hostage|6.6
Titan A.E.|6.6
Hollywood Homicide|5.3
Soldier|6.0
Carriers|6.0
Monkeybone|4.7
Flight of the Phoenix|6.1
Unbreakable|7.2
Minions|6.4
Sucker Punch|6.1
Snake Eyes|5.9
Sphere|6.0
The Angry Birds Movie|6.3
Fool's Gold|5.6
Funny People|6.4
The Kingdom|7.1
Talladega Nights: The Ballad of Ricky Bobby|6.6
Dr. Dolittle 2|4.6
Braveheart|8.4
Jarhead|7.1
The Simpsons Movie|7.4
The Majestic|6.9
Driven|4.5
Two Brothers|7.1
The Village|6.5
Doctor Dolittle|5.3
Signs|6.7
Shrek 2|7.2
Cars|7.2
Runaway Bride|5.5
xXx|5.8
The SpongeBob Movie: Sponge Out of Water|6.0
Ransom|6.6
Inglourious Basterds|8.3
Hook|6.7
Hercules|6.0
Die Hard 2|7.1
S.W.A.T.|6.0
Sleepy Hollow|7.5
Vanilla Sky|6.9
Lady in the Water|5.6
AVP: Alien vs. Predator|5.6
Alvin and the Chipmunks: The Squeakquel|4.5
We Were Soldiers|7.1
Olympus Has Fallen|6.5
Star Trek: Insurrection|6.4
Battle Los Angeles|5.8
Big Fish|8.0
Wolf|6.2
War Horse|7.2
The Monuments Men|6.1
The Abyss|7.6
Wall Street: Money Never Sleeps|6.3
Dracula Untold|6.3
The Siege|6.3
Stardust|7.7
Seven Years in Tibet|7.0
The Dilemma|5.3
Bad Company|5.6
Doom|5.2
I Spy|5.4
Underworld: Awakening|6.4
Rock of Ages|5.9
Hart's War|6.3
Killer Elite|6.5
Rollerball|3.0
Ballistic: Ecks vs. Sever|3.6
Hard Rain|5.8
Osmosis Jones|6.2
Legends of Oz: Dorothy's Return|5.6
Blackhat|5.4
Sky Captain and the World of Tomorrow|6.1
Basic Instinct 2|4.2
Escape Plan|6.7
The Legend of Hercules|4.2
The Sum of All Fears|6.4
The Twilight Saga: Eclipse|4.9
The Score|6.8
Despicable Me|7.7
Money Train|5.6
Ted 2|6.4
Agora|7.2
Mystery Men|6.0
Hall Pass|5.9
The Insider|7.9
The Finest Hours|6.8
Body of Lies|7.1
Dinner for Schmucks|5.9
Abraham Lincoln: Vampire Hunter|5.9
Entrapment|6.2
Last Man Standing|7.4
The X Files|7.0
The Last Legion|5.4
Saving Private Ryan|8.6
Need for Speed|6.5
What Women Want|6.4
Ice Age|7.6
Dreamcatcher|5.5
Lincoln|7.4
The Matrix|8.7
Apollo 13|7.6
Total Recall|7.5
The Santa Clause 2|5.5
Les Misérables|7.6
You've Got Mail|6.5
Step Brothers|6.9
The Mask of Zorro|6.7
Due Date|6.6
Unbroken|7.2
Space Cowboys|6.4
Cliffhanger|6.4
Broken Arrow|6.0
The Kid|6.1
World Trade Center|6.0
Mona Lisa Smile|6.4
The Dictator|6.4
Eyes Wide Shut|7.3
Annie|5.2
Focus|6.6
This Means War|6.3
Blade: Trinity|5.9
Red Dawn|6.4
Primary Colors|6.7
Resident Evil: Retribution|5.4
Death Race|6.4
The Long Kiss Goodnight|6.7
Proof of Life|6.2
Zathura: A Space Adventure|6.1
Fight Club|8.8
We Are Marshall|7.1
The Missing|8.1
Hudson Hawk|5.7
Lucky Numbers|5.0
I, Frankenstein|5.1
Oliver Twist|6.9
Elektra|4.8
